Influenciador,fator
"Mês: 1 - Local: RECIFE: Óleos de petróleo... , em peso, 70 % ",relação de troca
Mês: 2 - Local: SANTOS: Adubos  azotados,variação ano anterior
Mês: 3 - Local: SAO FRANCISCO DO SUL: Adubos  azotados,acumulado ano
"Mês: 4 - Local: SANTOS: Algodão, não cardado nem penteado",acumulado ano
Mês: 1 - Local: PE,chuvas
Mês: 11 - Local: TO,chuvas
"Mês: 7 - Local: SAO FRANCISCO DO SUL: Soja, mesmo triturada",acumulado ano
Mês: 8 - Local: MACEIO: Adubos  azotados,acumulado ano
Mês: 9 - Local: RIO GRANDE: Pastas químicas de madeira,variação ano anterior
Mês: 6 - Local: TO,chuvas
Mês: 11 - Local: SAO FRANCISCO DO SUL: Adubos  azotados,acumulado trimestre
Mês: 1 - Local: PA,chuvas
